,total_bill,size,tip
0,16.99,2,1.01
1,10.34,3,1.66
2,21.01,3,3.5
3,23.68,2,3.31
4,24.59,4,3.61
5,25.29,4,4.71
6,8.77,2,2.0
7,26.88,4,3.12
8,15.04,2,1.96
9,14.78,2,3.23
10,10.27,2,1.71
11,35.26,4,5.0
12,15.42,2,1.57
13,18.43,4,3.0
14,14.83,2,3.02
15,21.58,2,3.92
16,10.33,3,1.67
17,16.29,3,3.71
18,16.97,3,3.5
19,20.65,3,3.35
20,17.92,2,4.08
21,20.29,2,2.75
22,15.77,2,2.23
23,39.42,4,7.58
24,19.82,2,3.18
25,17.81,4,2.34
26,13.37,2,2.0
27,12.69,2,2.0
28,21.7,2,4.3
29,19.65,2,3.0
30,9.55,2,1.45
31,18.35,4,2.5
32,15.06,2,3.0
33,20.69,4,2.45
34,17.78,2,3.27
35,24.06,3,3.6
36,16.31,3,2.0
37,16.93,3,3.07
38,18.69,3,2.31
39,31.27,3,5.0
40,16.04,3,2.24
41,17.46,2,2.54
42,13.94,2,3.06
43,9.68,2,1.32
44,30.4,4,5.6
45,18.29,2,3.0
46,22.23,2,5.0
47,32.4,4,6.0
48,28.55,3,2.05
49,18.04,2,3.0
50,12.54,2,2.5
51,10.29,2,2.6
52,34.81,4,5.2
53,9.94,2,1.56
54,25.56,4,4.34
55,19.49,2,3.51
56,38.01,4,3.0
57,26.41,2,1.5
58,11.24,2,1.76
59,48.27,4,6.73
60,20.29,2,3.21
61,13.81,2,2.0
62,11.02,2,1.98
63,18.29,4,3.76
64,17.59,3,2.64
65,20.08,3,3.15
66,16.45,2,2.47
67,3.07,1,1.0
68,20.23,2,2.01
69,15.01,2,2.09
70,12.02,2,1.97
71,17.07,3,3.0
72,26.86,2,3.14
73,25.28,2,5.0
74,14.73,2,2.2
75,10.51,2,1.25
76,17.92,2,3.08
77,27.2,4,4.0
78,22.76,2,3.0
79,17.29,2,2.71
80,19.44,2,3.0
81,16.66,2,3.4
82,10.07,1,1.83
83,32.68,2,5.0
84,15.98,2,2.03
85,34.83,4,5.17
86,13.03,2,2.0
87,18.28,2,4.0
88,24.71,2,5.85
89,21.16,2,3.0
90,28.97,2,3.0
91,22.49,2,3.5
92,5.75,2,1.0
93,16.32,2,4.3
94,22.75,2,3.25
95,40.17,4,4.73
96,27.28,2,4.0
97,12.03,2,1.5
98,21.01,2,3.0
99,12.46,2,1.5
100,11.35,2,2.5
101,15.38,2,3.0
102,44.3,3,2.5
103,22.42,2,3.48
104,20.92,2,4.08
105,15.36,2,1.64
106,20.49,2,4.06
107,25.21,2,4.29
108,18.24,2,3.76
109,14.31,2,4.0
110,14.0,2,3.0
111,7.25,1,1.0
112,38.07,3,4.0
113,23.95,2,2.55
114,25.71,3,4.0
115,17.31,2,3.5
116,29.93,4,5.07
117,10.65,2,1.5
118,12.43,2,1.8
119,24.08,4,2.92
120,11.69,2,2.31
121,13.42,2,1.68
122,14.26,2,2.5
123,15.95,2,2.0
124,12.48,2,2.52
125,29.8,6,4.2
126,8.52,2,1.48
127,14.52,2,2.0
128,11.38,2,2.0
129,22.82,3,2.18
130,19.08,2,1.5
131,20.27,2,2.83
132,11.17,2,1.5
133,12.26,2,2.0
134,18.26,2,3.25
135,8.51,2,1.25
136,10.33,2,2.0
137,14.15,2,2.0
138,16.0,2,2.0
139,13.16,2,2.75
140,17.47,2,3.5
141,34.3,6,6.7
142,41.19,5,5.0
143,27.05,6,5.0
144,16.43,2,2.3
145,8.35,2,1.5
146,18.64,3,1.36
147,11.87,2,1.63
148,9.78,2,1.73
149,7.51,2,2.0
150,14.07,2,2.5
151,13.13,2,2.0
152,17.26,3,2.74
153,24.55,4,2.0
154,19.77,4,2.0
155,29.85,5,5.14
156,48.17,6,5.0
157,25.0,4,3.75
158,13.39,2,2.61
159,16.49,4,2.0
160,21.5,4,3.5
161,12.66,2,2.5
162,16.21,3,2.0
163,13.81,2,2.0
164,17.51,2,3.0
165,24.52,3,3.48
166,20.76,2,2.24
167,31.71,4,4.5
168,10.59,2,1.61
169,10.63,2,2.0
170,50.81,3,10.0
171,15.81,2,3.16
172,7.25,2,5.15
173,31.85,2,3.18
174,16.82,2,4.0
175,32.9,2,3.11
176,17.89,2,2.0
177,14.48,2,2.0
178,9.6,2,4.0
179,34.63,2,3.55
180,34.65,4,3.68
181,23.33,2,5.65
182,45.35,3,3.5
183,23.17,4,6.5
184,40.55,2,3.0
185,20.69,5,5.0
186,20.9,3,3.5
187,30.46,5,2.0
188,18.15,3,3.5
189,23.1,3,4.0
190,15.69,2,1.5
191,19.81,2,4.19
192,28.44,2,2.56
193,15.48,2,2.02
194,16.58,2,4.0
195,7.56,2,1.44
196,10.34,2,2.0
197,43.11,4,5.0
198,13.0,2,2.0
199,13.51,2,2.0
200,18.71,3,4.0
201,12.74,2,2.01
202,13.0,2,2.0
203,16.4,2,2.5
204,20.53,4,4.0
205,16.47,3,3.23
206,26.59,3,3.41
207,38.73,4,3.0
208,24.27,2,2.03
209,12.76,2,2.23
210,30.06,3,2.0
211,25.89,4,5.16
212,48.33,4,9.0
213,13.27,2,2.5
214,28.17,3,6.5
215,12.9,2,1.1
216,28.15,5,3.0
217,11.59,2,1.5
218,7.74,2,1.44
219,30.14,4,3.09
220,12.16,2,2.2
221,13.42,2,3.48
222,8.58,1,1.92
223,15.98,3,3.0
224,13.42,2,1.58
225,16.27,2,2.5
226,10.09,2,2.0
227,20.45,4,3.0
228,13.28,2,2.72
229,22.12,2,2.88
230,24.01,4,2.0
231,15.69,3,3.0
232,11.61,2,3.39
233,10.77,2,1.47
234,15.53,2,3.0
235,10.07,2,1.25
236,12.6,2,1.0
237,32.83,2,1.17
238,35.83,3,4.67
239,29.03,3,5.92
240,27.18,2,2.0
241,22.67,2,2.0
242,17.82,2,1.75
243,18.78,2,3.0
